_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp,chars,errors,extra,missed
69189bcc73393afa8b80f3d4,False,48.2,91.85,49.0,62.72,241;0;0;1,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-11-15 15:27:08,241,0,0,1
6908997b3ba5c30337ff2069,False,46.19,90.98,46.19,66.56,231;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-11-03 12:00:59,231,0,0,0
690899383ba5c30337ff1de5,False,44.99,89.64,44.99,59.91,225;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-11-03 11:59:52,225,0,0,0
690898f63ba5c30337ff1b4b,False,37.59,84.82,37.59,50.5,188;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-11-03 11:58:46,188,0,0,0
690898b23ba5c30337ff18bc,False,45.99,87.36,46.99,58.6,230;2;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-11-03 11:57:38,230,2,0,0
68fef97d58e46f71a95e6e92,False,49.6,93.01,50.4,61.71,248;1;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-10-27 04:47:57,248,1,0,0
68fdad7058e46f71a9545b0a,False,42.79,90.46,42.79,58.5,214;0;0;0,time,60,-1,0,60.01,1,0.0,False,False,english,,normal,False,False,False,,2025-10-26 05:11:12,214,0,0,0
68ecc006c2c5004cd41d1f37,False,47.6,91.25,47.6,61.82,238;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-10-13 09:01:58,238,0,0,0
68ecbfb9c2c5004cd41d1c78,False,49.39,90.88,49.59,66.23,247;1;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-10-13 09:00:41,247,1,0,0
68eb99b5c2c5004cd413f10c,False,47.19,90.6,48.19,61.97,236;1;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-10-12 12:06:13,236,1,0,0
68e885dac2c5004cd4fb8b18,False,49.39,95.09,49.99,64.86,247;1;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-10-10 04:04:42,247,1,0,0
68e68d5bc2c5004cd4e88ebe,False,35.79,81.33,35.79,53.21,179;0;0;0,time,60,-1,0,60.02,0,0.0,False,False,english,,normal,False,False,False,,2025-10-08 16:12:11,179,0,0,0
68e68d0ac2c5004cd4e88a17,False,47.0,92.25,47.0,62.44,235;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-10-08 16:10:50,235,0,0,0
68e68cc5c2c5004cd4e88602,False,55.59,95.88,55.99,70.4,278;2;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-10-08 16:09:41,278,2,0,0
68e15015c2c5004cd4bacc6b,False,53.38,94.72,53.38,64.48,267;0;0;0,time,60,-1,0,60.02,0,0.0,False,False,english,,normal,False,False,False,,2025-10-04 16:49:25,267,0,0,0
68e14fcec2c5004cd4bac97b,False,39.19,85.59,39.19,55.8,196;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-10-04 16:48:14,196,0,0,0
68e14f75c2c5004cd4bac5e6,False,46.4,91.86,46.4,59.01,232;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-10-04 16:46:45,232,0,0,0
68d29019dcd5c426fe83ba0c,False,46.8,89.51,48.0,62.77,234;1;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-09-23 12:18:33,234,1,0,0
68d24f74dcd5c426fe81597e,True,57.39,96.31,57.39,69.7,287;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-09-23 07:42:44,287,0,0,0
68d24f2cdcd5c426fe8156d4,False,34.4,91.67,34.4,26.57,172;0;0;0,time,60,-1,0,60.0,12,0.0,False,False,english,,normal,False,False,False,,2025-09-23 07:41:32,172,0,0,0
68cadc69dcd5c426fe403bd3,False,39.79,87.5,39.79,55.64,199;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-09-17 16:06:01,199,0,0,0
68c23de0dcd5c426fef25c1e,False,45.99,92.8,45.99,66.59,230;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-09-11 03:11:28,230,0,0,0
68b544c5eff67c4fdc69b140,False,52.98,94.31,52.98,68.46,265;0;0;0,time,60,-1,0,60.02,0,0.0,False,False,english,,normal,False,False,False,,2025-09-01 07:01:25,265,0,0,0
68b301cfeff67c4fdc5aa15d,False,45.4,90.94,45.4,61.12,227;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-08-30 13:51:11,227,0,0,0
68b30183eff67c4fdc5a9ea8,False,52.39,92.93,52.39,71.27,262;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-08-30 13:49:55,262,0,0,0
68af310c895ff374fc01185b,False,47.0,91.95,48.6,63.46,235;3;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-08-27 16:23:39,235,3,0,0
68af30c9895ff374fc011514,False,47.0,93.82,48.0,61.6,235;0;1;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-08-27 16:22:33,235,0,1,0
68abfc12895ff374fce452f8,False,43.39,88.21,43.39,55.81,217;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-08-25 06:00:50,217,0,0,0
68abfbb9895ff374fce45078,False,49.99,90.43,50.79,63.3,250;3;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-08-25 05:59:21,250,3,0,0
